1 2 3
5 1 6
1 4 8
4 9 10
3 11 9
2 12 13
12 14 15
16 17 18
16 5 19
20 21 22
21 24 25
24 26 27
26 28 29
28 30 31
30 32 33
32 34 35
34 36 37
36 38 39
38 40 41
40 42 43
42 44 45
44 46 47
46 48 49
48 50 51
50 52 53
52 54 55
54 56 57
56 58 59
58 60 61
60 62 63
62 64 65
64 66 67
66 68 69
68 70 71
70 72 73
72 74 75
74 76 77
76 78 79
78 80 81
80 82 83
82 84 85
84 86 87
86 88 89
88 90 91
90 20 23
3 13 92
13 15 93
15 94 95
14 18 94
10 9 96
9 11 98
11 92 99
92 93 100
93 95 101
95 102 103
95 94 104
94 18 105
18 17 106
17 19 107
19 108 109
108 7 110
7 6 112
8 10 112
10 97 113
97 114 115
97 96 116
22 25 117
25 27 119
27 29 120
29 31 121
33 35 121
35 37 122
37 39 123
39 41 124
41 43 125
43 45 126
45 47 127
47 49 128
51 53 128
53 55 129
55 57 130
57 59 131
59 61 132
61 63 133
63 65 134
65 67 135
69 71 135
71 73 136
73 75 137
75 77 138
77 79 139
79 81 140
81 83 141
83 85 142
87 89 142
89 91 143
91 23 144
23 22 118
109 108 111
117 119 146
119 120 148
120 121 122
123 124 149
124 125 150
125 126 151
126 127 152
127 128 153
128 129 154
129 130 155
130 131 156
131 132 157
132 133 158
133 134 159
134 135 160
135 136 161
136 137 162
137 138 163
138 139 140
140 141 164
141 142 165
143 144 166
144 118 168
118 117 147
145 111 169
111 110 171
110 112 172
112 113 173
113 115 149
114 116 148
96 98 174
98 99 146
99 100 147
100 101 168
116 174 146
101 103 166
102 104 165
104 105 164
164 105 162
105 106 161
106 107 160
107 109 159
109 145 158
145 170 157
157 170 155
170 169 154
169 171 153
171 172 152
172 173 151
149 150 151
108 19 5
16 14 12
122 123 115
167 165 142
167 166 103
