1 2 3
2 5 6
5 8 9
5 10 11
10 12 13
10 1 14
1 4 15
4 16 17
4 3 18
3 19 20
2 7 19
21 22 23
22 25 26
25 27 28
27 29 30
29 31 32
31 33 34
33 35 36
35 37 38
37 39 40
39 41 42
41 43 44
43 45 46
45 47 48
47 49 50
49 51 52
51 53 54
53 55 56
55 57 58
57 59 60
59 61 62
61 63 64
63 65 66
65 67 68
67 69 70
69 71 72
71 73 74
73 75 76
75 77 78
77 79 80
79 81 82
81 83 84
83 85 86
85 87 88
87 89 90
89 91 92
91 93 94
93 95 96
95 21 24
9 8 97
8 11 99
11 13 100
13 101 102
13 12 103
12 14 104
14 15 105
15 17 106
17 107 108
17 16 109
23 26 110
26 28 112
28 30 113
30 32 114
36 38 115
38 40 117
40 42 118
42 44 119
44 46 120
46 48 121
48 50 122
52 54 122
54 56 123
56 58 124
58 60 125
60 62 126
62 64 127
64 66 128
66 68 129
68 70 130
72 74 130
74 76 131
76 78 132
78 80 133
80 82 134
82 84 135
84 86 136
86 88 137
92 94 138
94 96 140
96 24 141
24 23 111
20 19 142
19 7 144
7 6 9
9 98 145
98 146 147
98 97 148
97 99 149
99 100 150
100 102 151
102 152 153
102 101 154
101 103 104
104 105 155
105 106 156
109 16 18
113 114 158
116 115 160
115 117 162
118 119 162
119 120 163
120 121 164
121 122 165
122 123 166
123 124 167
124 125 168
125 126 169
126 127 170
127 128 171
128 129 172
129 130 173
130 131 174
131 132 175
132 133 176
133 134 177
134 135 178
136 137 178
139 138 179
138 140 181
140 141 182
141 111 183
111 110 159
143 142 184
145 147 186
147 188 189
147 146 190
148 149 190
149 150 191
150 151 192
153 167 168
153 152 166
170 171 192
171 172 191
172 173 190
173 174 188
174 175 189
175 176 186
176 177 194
180 179 184
179 181 185
181 182 196
182 183 197
183 159 158
152 154 165
154 155 164
155 156 163
18 20 198
20 143 199
143 185 196
198 199 196
195 187 186
156 106 108
88 90 200
90 92 139
200 139 180
137 200 201
178 201 194
201 180 195
145 187 142
187 195 184
112 113 159
161 160 109
32 34 202
34 36 116
202 116 161
114 202 203
158 203 198
203 161 157
193 192 151
193 168 169
109 160 162
107 162 119
